,URL,HomeTeam,AwayTeam,Quarter,SecLeft,HomePlay,AwayPlay,HomeScore,AwayScore,Shooter,ShotType,ShotOutcome,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType
0,10220TOR,TOR,NOP,1,720,,Jump ball: D. Favors vs. M. Gasol (L. Ball gains possession),0,0,,,,,,,,,,,,,,,,
1,10220TOR,TOR,NOP,1,708,,L. Ball misses 2-pt jump shot from 11 ft,0,0,L. Ball ,2.0,0,,,,,,,,,,,,,
2,10220TOR,TOR,NOP,1,707,,D. Favors makes 2-pt layup at rim,0,2,D. Favors ,2.0,1,,,,,,,,,,,,,
3,10220TOR,TOR,NOP,1,689,O. Anunoby misses 2-pt layup from 3 ft,,0,2,O. Anunoby ,2.0,0,,,,,,,,,,,,,
4,10220TOR,TOR,NOP,1,676,,J. Holiday misses 2-pt layup from 8 ft,0,2,J. Holiday ,2.0,0,,,,,,,,,,,,,
5,10220TOR,TOR,NOP,1,671,K. Lowry misses 3-pt jump shot from 25 ft,,0,2,K. Lowry ,3.0,0,,,,,,,,,,,,,
6,10220TOR,TOR,NOP,1,660,,D. Favors misses 2-pt jump shot from 12 ft,0,2,D. Favors ,2.0,0,,,,,,,,,,,,,
7,10220TOR,TOR,NOP,1,654,Shooting foul by J. Redick (drawn by K. Lowry),,0,2,,,,,shooting,J. Redick ,K. Lowry ,,,,,,,,,
8,10220TOR,TOR,NOP,1,654,K. Lowry makes free throw 1 of 2,,1,2,,,,,,,,,,K. Lowry ,1,1 of 2,,,,
9,10220TOR,TOR,NOP,1,654,K. Lowry misses free throw 2 of 2,,1,2,,,,,,,,,,K. Lowry ,0,2 of 2,,,,
10,10220TOR,TOR,NOP,1,637,,B. Ingram makes 2-pt jump shot from 16 ft,1,4,B. Ingram ,2.0,1,,,,,,,,,,,,,
11,10220TOR,TOR,NOP,1,617,O. Anunoby makes 3-pt jump shot from 25 ft (assist by F. VanVleet),,4,4,O. Anunoby ,3.0,1,,,,,,,,,,,,,
