,URL,HomeTeam,AwayTeam,Quarter,SecLeft,HomePlay,AwayPlay,HomeScore,AwayScore,Shooter,ShotType,ShotOutcome,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType
0,04210LAC,LAC,GSW,1,720,,Jump ball: A. Bogut vs. J. Green (D. Green gains possession),0,0,,,,,,,,,,,,,,,,
1,04210LAC,LAC,GSW,1,701,,Def 3 sec tech foul by Team,0,0,,,,,def 3 sec tech,Team ,,,,,,,,,,
2,04210LAC,LAC,GSW,1,696,,D. Green misses 3-pt jump shot from 25 ft,0,1,D. Green ,3.0,0,,,,,,,,,,,,,
3,04210LAC,LAC,GSW,1,693,Defensive rebound by P. Beverley,,0,1,,,,,,,,P. Beverley ,defensive,,,,,,,
4,04210LAC,LAC,GSW,1,688,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Durant),,0,1,,,,,,,,,,,,,,,S. Gilgeous-Alexander ,steal
5,04210LAC,LAC,GSW,1,678,,Turnover by D. Green (bad pass; steal by S. Gilgeous-Alexander),0,1,,,,,,,,,,,,,,,D. Green ,steal
6,04210LAC,LAC,GSW,1,674,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,2,1,S. Gilgeous-Alexander ,2.0,1,,,,,,,,,,,,,
7,04210LAC,LAC,GSW,1,655,,K. Thompson makes 2-pt jump shot from 16 ft (assist by A. Bogut),2,3,K. Thompson ,2.0,1,,,,,,,,,,,,,
8,04210LAC,LAC,GSW,1,642,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,,4,3,S. Gilgeous-Alexander ,2.0,1,,,,,,,,,,,,,
9,04210LAC,LAC,GSW,1,632,,A. Bogut misses 2-pt hook shot from 12 ft,4,3,A. Bogut ,2.0,0,,,,,,,,,,,,,
10,04210LAC,LAC,GSW,1,629,Defensive rebound by P. Beverley,,4,3,,,,,,,,P. Beverley ,defensive,,,,,,,
11,04210LAC,LAC,GSW,1,623,D. Gallinari misses 2-pt layup from 3 ft,,4,3,D. Gallinari ,2.0,0,,,,,,,,,,,,,
12,04210LAC,LAC,GSW,1,621,,Defensive rebound by K. Durant,4,3,,,,,,,,K. Durant ,defensive,,,,,,,
13,04210LAC,LAC,GSW,1,619,,Personal take foul by S. Gilgeous-Alexander (drawn by S. Curry),4,3,,,,,personal take,S. Gilgeous-Alexander ,S. Curry ,,,,,,,,,
14,04210LAC,LAC,GSW,1,608,,S. Curry misses 3-pt jump shot from 25 ft,4,3,S. Curry ,3.0,0,,,,,,,,,,,,,
15,04210LAC,LAC,GSW,1,606,Defensive rebound by P. Beverley,,4,3,,,,,,,,P. Beverley ,defensive,,,,,,,
16,04210LAC,LAC,GSW,1,602,L. Shamet misses 3-pt jump shot from 24 ft,,4,3,L. Shamet ,3.0,0,,,,,,,,,,,,,
17,04210LAC,LAC,GSW,1,598,,Defensive rebound by K. Durant,4,3,,,,,,,,K. Durant ,defensive,,,,,,,
18,04210LAC,LAC,GSW,1,589,,A. Bogut makes 2-pt dunk from 3 ft,4,5,A. Bogut ,2.0,1,,,,,,,,,,,,,
19,04210LAC,LAC,GSW,1,570,Personal foul by S. Curry (drawn by J. Green),,4,5,,,,,personal,S. Curry ,J. Green ,,,,,,,,,
20,04210LAC,LAC,GSW,1,561,P. Beverley misses 2-pt layup from 2 ft,,4,5,P. Beverley ,2.0,0,,,,,,,,,,,,,
21,04210LAC,LAC,GSW,1,559,,Defensive rebound by D. Green,4,5,,,,,,,,D. Green ,defensive,,,,,,,
22,04210LAC,LAC,GSW,1,559,,Shooting foul by L. Shamet (drawn by D. Green),4,5,,,,,shooting,L. Shamet ,D. Green ,,,,,,,,,
23,04210LAC,LAC,GSW,1,559,,D. Green makes free throw 1 of 2,4,6,,,,,,,,,,D. Green ,1,1 of 2,,,,
24,04210LAC,LAC,GSW,1,559,,D. Green makes free throw 2 of 2,4,7,,,,,,,,,,D. Green ,1,2 of 2,,,,
25,04210LAC,LAC,GSW,1,547,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by L. Shamet),,7,7,S. Gilgeous-Alexander ,3.0,1,,,,,,,,,,,,,
26,04210LAC,LAC,GSW,1,543,,D. Green misses 2-pt dunk from 1 ft (block by P. Beverley),7,7,D. Green ,2.0,0,P. Beverley ,,,,,,,,,,,,
27,04210LAC,LAC,GSW,1,543,,Offensive rebound by Team,7,7,,,,,,,,Team ,offensive,,,,,,,
28,04210LAC,LAC,GSW,1,537,,K. Durant makes 2-pt jump shot from 16 ft (assist by A. Bogut),7,9,K. Durant ,2.0,1,,,,,,,,,,,,,
29,04210LAC,LAC,GSW,1,523,D. Gallinari misses 3-pt jump shot from 27 ft,,7,9,D. Gallinari ,3.0,0,,,,,,,,,,,,,
30,04210LAC,LAC,GSW,1,520,,Defensive rebound by D. Green,7,9,,,,,,,,D. Green ,defensive,,,,,,,
31,04210LAC,LAC,GSW,1,513,,Personal foul by D. Gallinari (drawn by S. Curry),7,9,,,,,personal,D. Gallinari ,S. Curry ,,,,,,,,,
32,04210LAC,LAC,GSW,1,500,,K. Durant makes 2-pt jump shot from 21 ft,7,11,K. Durant ,2.0,1,,,,,,,,,,,,,
33,04210LAC,LAC,GSW,1,482,D. Gallinari misses 2-pt layup from 3 ft,,7,11,D. Gallinari ,2.0,0,,,,,,,,,,,,,
34,04210LAC,LAC,GSW,1,480,Offensive rebound by Team,,7,11,,,,,,,,Team ,offensive,,,,,,,
35,04210LAC,LAC,GSW,1,475,L. Shamet misses 3-pt jump shot from 25 ft,,7,11,L. Shamet ,3.0,0,,,,,,,,,,,,,
36,04210LAC,LAC,GSW,1,473,,Defensive rebound by S. Curry,7,11,,,,,,,,S. Curry ,defensive,,,,,,,
37,04210LAC,LAC,GSW,1,467,,K. Thompson makes 2-pt jump shot from 14 ft (assist by S. Curry),7,13,K. Thompson ,2.0,1,,,,,,,,,,,,,
38,04210LAC,LAC,GSW,1,454,Personal foul by K. Durant (drawn by L. Shamet),,7,13,,,,,personal,K. Durant ,L. Shamet ,,,,,,,,,
39,04210LAC,LAC,GSW,1,444,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,,7,13,S. Gilgeous-Alexander ,3.0,0,,,,,,,,,,,,,
40,04210LAC,LAC,GSW,1,438,,Defensive rebound by K. Durant,7,13,,,,,,,,K. Durant ,defensive,,,,,,,
41,04210LAC,LAC,GSW,1,424,,K. Durant misses 2-pt jump shot from 15 ft,7,13,K. Durant ,2.0,0,,,,,,,,,,,,,
42,04210LAC,LAC,GSW,1,421,Defensive rebound by D. Gallinari,,7,13,,,,,,,,D. Gallinari ,defensive,,,,,,,
43,04210LAC,LAC,GSW,1,411,D. Gallinari misses 3-pt jump shot from 26 ft,,7,13,D. Gallinari ,3.0,0,,,,,,,,,,,,,
44,04210LAC,LAC,GSW,1,410,,Defensive rebound by S. Curry,7,13,,,,,,,,S. Curry ,defensive,,,,,,,
45,04210LAC,LAC,GSW,1,404,,S. Curry misses 3-pt jump shot from 28 ft,7,13,S. Curry ,3.0,0,,,,,,,,,,,,,
46,04210LAC,LAC,GSW,1,400,Defensive rebound by P. Beverley,,7,13,,,,,,,,P. Beverley ,defensive,,,,,,,
47,04210LAC,LAC,GSW,1,391,J. Green makes 3-pt jump shot from 26 ft (assist by P. Beverley),,10,13,J. Green ,3.0,1,,,,,,,,,,,,,
48,04210LAC,LAC,GSW,1,377,,K. Thompson makes 2-pt layup from 1 ft (assist by K. Durant),10,15,K. Thompson ,2.0,1,,,,,,,,,,,,,
49,04210LAC,LAC,GSW,1,356,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by P. Beverley),,12,15,S. Gilgeous-Alexander ,2.0,1,,,,,,,,,,,,,
50,04210LAC,LAC,GSW,1,356,,K. Looney enters the game for A. Bogut,12,15,,,,,,,,,,,,,K. Looney - GSW,A. Bogut - GSW,,
